,P.Name,PSI_P_RADIUS,PSI_P_DENSITY,PSI_P_ESCAPE,PSI_P_TEMP_SURF,PSI_Interior,PSI_Surface,PSI_Global
30,55 Cnc e,0.813609,0.895275,0.741526,0.000387,0.8534657564747399,0.016940205488718253,0.12024094682040085
33,61 Vir b,0.777883,0.686974,0.842833,0.004745,0.7310166865687814,0.06323956502854838,0.21500971440197864
63,BD-06 1339 b,0.688725,0.51925,0.803038,0.033221,0.5980137592480628,0.16333317298699612,0.3125307741453115
72,CD Cet b,0.822801,0.782244,0.861444,0.183938,0.8022662559549666,0.39806065677481867,0.5651111684913941
110,CoRoT-7 b,0.846081,0.918254,0.841935,0.000634,0.8814291024092635,0.02310382630648006,0.14270383626076857
111,CoRoT-7 c,0.689871,0.51541,0.80614,0.006408,0.5962938974281055,0.07187311820145276,0.2070205346642095
120,DMPP-1 c,0.667893,0.478095,0.795934,0.003777,0.5650807940772717,0.05482921409248905,0.17601970298241174
121,DMPP-1 d,0.852189,0.846992,0.873623,0.001043,0.8495865261925944,0.030185903812872658,0.16014224040009642
122,DMPP-1 e,0.815425,0.767618,0.857909,0.00288,0.7911604816028162,0.04970692024255778,0.19830822211419977
124,DMPP-3 A b,0.898638,0.95307,0.892794,0.014404,0.9254538987221352,0.1134010792541235,0.32395597064265763
127,EPIC 201170410.02,0.988078,0.994791,0.983664,0.155653,0.9914288182708832,0.3912930520620063,0.6228476605105313
128,EPIC 201238110 b,0.813609,0.762825,0.857473,0.679868,0.7878078988084595,0.7635237085801593,0.7755707630816016
129,EPIC 201427007 b,0.880135,0.90912,0.885568,0.000251,0.8945101068182517,0.014908976088249655,0.11548259519620677
130,EPIC 201497682 b,0.893091,0.865849,0.8249,0.008286,0.8793645144415368,0.08267479301455795,0.26963174741821727
131,EPIC 201595106 b,0.923344,0.989914,0.903317,0.00035,0.9560497646127004,0.017780915330769673,0.13038190026449492
132,EPIC 201615463 c,0.941793,0.955399,0.914043,0.001007,0.948571605313484,0.030338775535607897,0.1696422736615406
133,EPIC 201754305 d,0.991182,0.991984,0.991815,0.010424,0.9915829189170213,0.10167929759788863,0.3175270928685407
134,EPIC 201757695.02,0.972227,0.956209,0.951437,0.002872,0.964184737196664,0.052273579024206866,0.22450253239948975
135,EPIC 201833600 c,0.999341,0.988827,0.99553,0.022,0.9940700996443863,0.1479920943834501,0.38355510166120543
136,EPIC 201841433 b,0.988078,0.993188,0.987619,0.00845,0.9906297051189208,0.09135305440980065,0.3008272749464276
137,EPIC 205950854 c,0.920789,0.996901,0.902581,0.014155,0.9580894921086442,0.11303111985201243,0.32908042818053745
138,EPIC 206024342 b,0.842075,0.821933,0.870331,0.006237,0.8319430455115302,0.07367668862672914,0.24757788414825296
139,EPIC 206024342 c,0.901027,0.957871,0.894037,0.000518,0.9290143343980221,0.02152001779739041,0.14139450134385084
141,EPIC 206032309 b,0.997472,0.989788,0.99976,0.052876,0.9936225721751696,0.2299202247737245,0.47796853990065213
142,EPIC 206042996 b,0.842075,0.821933,0.870331,0.040098,0.8319430455115302,0.18681148904176104,0.39422901862996657
143,EPIC 206042996 c,0.947253,0.957458,0.92137,0.000727,0.9523418308958186,0.025881189887638472,0.15699598645620202
144,EPIC 206215704 b,0.999341,0.988827,0.99553,0.125913,0.9940700996443863,0.35404825785477323,0.5932527176209274
145,EPIC 206317286 b,0.989528,0.964925,0.97558,0.003159,0.9771490702037228,0.05551447757117057,0.2329075356048291
146,EPIC 206317286 c,0.779487,0.688604,0.844134,0.100963,0.7326376090182649,0.29193543985271814,0.4624747373007426
147,EPIC 211822797 b,0.806457,0.749776,0.85368,0.295863,0.7776002209567587,0.5025657428038645,0.6251361712855709
149,EPIC 212297394 b,0.884662,0.921073,0.886909,0.004942,0.9026839326840819,0.06620501701532898,0.24446309562552324
150,EPIC 212297394 c,0.754865,0.639514,0.833493,0.014961,0.6947997809513184,0.11166865617978933,0.278545073287692
151,EPIC 212424622 b,0.768446,0.665493,0.839716,0.022002,0.7151191745981924,0.13592435922968335,0.31177253820713485
152,EPIC 212499991 b,0.860526,0.862671,0.878117,0.200291,0.861597832486828,0.4193792222404443,0.6011124926936543
153,EPIC 212587672 b,0.933763,0.961695,0.906425,0.024323,0.947626090968901,0.14848223892102383,0.37510750945167737
154,EPIC 212587672 c,0.749037,0.630007,0.830226,0.039881,0.6869487268049923,0.1819622024102808,0.3535515567387233
155,EPIC 212624936 b,0.947253,0.957458,0.92137,0.000229,0.9523418308958186,0.01452562322243008,0.11761529923675695
156,EPIC 212624936 c,0.751935,0.635998,0.831354,0.023398,0.6915411456522309,0.13947050187046722,0.3105633440188885
159,EPIC 220492298 b,0.996115,0.987378,0.991089,0.00025,0.9917368786477591,0.01574078301737242,0.12494284700262187
160,EPIC 220554210 c,0.860526,0.862671,0.878117,0.000391,0.861597832486828,0.018529537150182677,0.12635271681124055
161,EPIC 220674823 b,0.860526,0.678428,0.720506,0.000207,0.7640712879882349,0.01221248303990634,0.0965981762034652
162,EPIC 220674823 c,0.76537,0.690101,0.826714,0.027086,0.7267617232422191,0.14964082131557552,0.3297775328409876
163,EPIC 228836835 b,0.972948,0.983791,0.961506,0.009276,0.9783544786364501,0.09444008500631498,0.30396690630516887
166,EPIC 249893012 b,0.801204,0.912337,0.732841,0.001221,0.8549666974496726,0.029913188746771884,0.15992116868324927
170,G 264-012 b,0.903433,0.96198,0.895537,0.082636,0.9322470044682364,0.2720360188136858,0.503591862172656
171,G 264-012 c,0.832284,0.803552,0.865157,0.360547,0.8177918272812464,0.5585067241126108,0.6758270743769555
172,G 9-40 b,0.789307,0.710648,0.847607,0.213689,0.7489455527179529,0.4255869972438068,0.5645719519072274
173,GJ 1061 b,0.972948,0.98255,0.961094,0.369311,0.9777372128542516,0.5957705818803073,0.7632215066598997
174,GJ 1061 c,0.952801,0.96581,0.930925,0.807283,0.9592834481059287,0.8669024897732155,0.9119239055761532
175,GJ 1061 d,0.958439,0.966156,0.937911,0.637784,0.9622897643038713,0.7734239647334443,0.8627038685031566
176,GJ 1132 b,0.964171,0.928727,0.932345,0.091376,0.9462830656399807,0.2918800382348885,0.5255484158286704
177,GJ 1132 c,0.893912,0.940246,0.891468,0.630714,0.9167863340779029,0.7498408818889511,0.8291223511935456
181,GJ 1252 b,0.952801,0.887345,0.979995,0.006682,0.9194907304290784,0.08092173125928535,0.2727760652681717
182,GJ 1265 b,0.712703,0.559836,0.814863,0.274411,0.6316619322928998,0.4728714103146859,0.546529842520464
184,GJ 15 A b,0.869091,0.881993,0.881669,0.333314,0.8755182341693404,0.5421001946743793,0.6889256891597004
188,GJ 163 c,0.726909,0.585789,0.821312,0.860032,0.6525452445623982,0.8404490478214608,0.740561293515189
191,GJ 180 b,0.734994,0.601167,0.824821,0.738096,0.6647210979034741,0.7802544974660511,0.7201747192173279
192,GJ 180 c,0.737745,0.607379,0.825635,0.836069,0.6693958622183139,0.830835620814972,0.7457599659120395
193,GJ 180 d,0.70896,0.552833,0.813267,0.356011,0.6260483077846309,0.5380817762543162,0.5804008834191787
194,GJ 2030 b,0.796045,0.725086,0.850302,0.000286,0.7597375105060957,0.015594434007042385,0.1088470324366355
197,GJ 229 A c,0.686447,0.50948,0.804569,0.499837,0.5913806029622548,0.6341556238440214,0.6123947543870556
199,GJ 251 b,0.82094,0.779385,0.860252,0.507218,0.7998926939908878,0.6605568097718773,0.7268937791056224
201,GJ 273 b,0.877896,0.90319,0.884916,0.964898,0.8904531926159848,0.9240420329011013,0.907092155355866
202,GJ 273 c,0.985,0.995854,0.980244,0.231828,0.990412131387737,0.4767053660616797,0.6871206427150327
204,GJ 3082 b,0.69451,0.525014,0.807602,0.271478,0.6038439145507719,0.46823730709545136,0.531735129980359
205,GJ 3090 b,0.774702,0.490399,0.920193,0.039034,0.6163708997819414,0.18952259380348296,0.34178386689786894
206,GJ 3138 b,0.950016,0.96845,0.928421,0.014511,0.9591887171980288,0.1160703111523356,0.33366649945564636
207,GJ 3138 c,0.813609,0.764728,0.856789,0.119753,0.7887899488152724,0.3203171133689238,0.5026558658355925
215,GJ 3293 d,0.707724,0.549635,0.81312,0.675092,0.6236905328285816,0.7408986482913841,0.679773103855124
216,GJ 3293 e,0.85633,0.857378,0.874952,0.417505,0.8568538397766564,0.6043979109494009,0.7196392643192725
217,GJ 3323 b,0.941793,0.945264,0.910628,0.514993,0.9435269038835088,0.6848116862349825,0.8038272513771463
218,GJ 3323 c,0.918253,0.999093,0.90087,0.249832,0.9578205179098013,0.474411376170513,0.6740926865245923
219,GJ 3341 b,0.732272,0.597147,0.823163,0.385012,0.6612669869152701,0.5629632607515344,0.6101385245836904
222,GJ 3473 b,0.931128,0.952428,0.932045,0.028944,0.9417177808579383,0.1642471018922404,0.3932866846287938
223,GJ 3473 c,0.711449,0.554961,0.815395,0.616337,0.6283521691607342,0.7089133290572268,0.6674183306293481
226,GJ 357 b,0.941793,0.995351,0.927445,0.12652,0.9682017374199449,0.34254976485176575,0.5758969330377383
