,P.Name,PSI_P_RADIUS,PSI_P_MASS,PSI_P_ESCAPE,PSI_P_TEMP_SURF,PSI_Interior,PSI_Surface,PSI_Global
30,55 Cnc e,0.895945,0.9493,0.983841,0.053604,0.9222367312680623,0.2296471488261938,0.4602054279107312
33,61 Vir b,0.948219,0.745019,0.941934,0.135513,0.8405005479837595,0.35727342770208925,0.547985868215269
63,BD-06 1339 b,0.91903,0.982185,0.971307,0.27862,0.9500828808846099,0.5202168358867291,0.7030285272476073
72,CD Cet b,0.882566,0.638332,0.928056,0.525558,0.7505798557861781,0.6983890429037385,0.7240143279696438
110,CoRoT-7 b,0.848824,0.65129,0.942602,0.064336,0.7435257782753737,0.24625848670045872,0.4279013121981216
111,CoRoT-7 c,0.920771,0.972356,0.969031,0.151462,0.9462120304012204,0.3831075218812599,0.6020805146666407
120,DMPP-1 c,0.887233,0.966247,0.976507,0.124541,0.9258975237848949,0.3487336494905532,0.5682355343726514
121,DMPP-1 d,0.840006,0.573118,0.918923,0.077366,0.6938462068124319,0.266633450298345,0.4301192951947375
122,DMPP-1 e,0.8933,0.656397,0.930699,0.112653,0.7657411051393284,0.3237993737594315,0.4979422559955818
124,DMPP-3 A b,0.773471,0.478506,0.904465,0.204432,0.6083670884638649,0.4300018475309147,0.511467469167361
127,EPIC 201170410.02,0.648212,0.25598,0.834474,0.493985,0.4073442128716204,0.6420417734773961,0.5114019953498903
128,EPIC 201238110 b,0.895945,0.659882,0.931025,0.853963,0.7689070024977013,0.891661876540093,0.8280127177356145
129,EPIC 201427007 b,0.799861,0.514117,0.909926,0.04566,0.6412660428691044,0.20383135470285232,0.3615385542966987
130,EPIC 201497682 b,0.498658,0.071422,0.687634,0.166579,0.1887197702308902,0.3384455407979251,0.25272784709060814
131,EPIC 201595106 b,0.73848,0.431939,0.896485,0.051645,0.5647816504809625,0.215171949438118,0.3486046022944426
132,EPIC 201615463 c,0.712542,0.394442,0.88832,0.076367,0.5301476129947206,0.2604579302689784,0.3715927206198263
133,EPIC 201754305 d,0.643936,0.244287,0.828069,0.181361,0.39661718776674315,0.3875298980840059,0.392047214444397
134,EPIC 201757695.02,0.594688,0.167654,0.783624,0.11253,0.3157559531536975,0.29695320964758065,0.30621029335135286
135,EPIC 201833600 c,0.630914,0.223947,0.818087,0.239162,0.37588734689797687,0.44232942824777105,0.40775732395501335
