P_NAME,P_RADIUS in MU,P_DENSITY in MU,P_ESCAPE in MU
55 Cnc e,3.532207547169811,1.7152712676056339,4.590977555555556
61 Vir b,3.9763773584905655,0.7651796338028168,3.4519286666666664
BD-06 1339 b,5.372339622641509,0.5235758169014085,3.857854
CD Cet b,3.426452830188679,0.9290584788732396,3.2776215555555552
CoRoT-7 b,3.172641509433962,1.2080080985915493,3.4605764444444445
CoRoT-7 c,5.351188679245283,0.5186239436619718,3.824450888888889
DMPP-1 c,5.774207547169811,0.4716675211267606,3.935527111111111
DMPP-1 d,3.1091886792452827,1.0544004366197184,3.1684175555555556
DMPP-1 e,3.511056603773585,0.9024057464788733,3.310025111111111
DMPP-3 A b,2.665018867924528,1.2899158028169015,3.003817111111111
EPIC 201170410.02,1.9670377358490565,1.4222325352112677,2.3280404444444445
EPIC 201238110 b,3.532207547169811,0.8937969154929578,3.3140433333333332
EPIC 201427007 b,2.8342264150943395,1.1873049154929578,3.0648428888888892
EPIC 201497682 b,1.3113584905660376,1.093341295774648,1.3607922888888888
EPIC 201595106 b,2.453509433962264,1.4352650704225354,2.9170664444444445
EPIC 201615463 c,2.305452830188679,1.5311652112676055,2.8311300000000004
EPIC 201754305 d,1.94588679245283,1.3874981126760564,2.2747113333333333
EPIC 201757695.02,1.7132264150943395,1.2975426619718309,1.9367257111111111
EPIC 201833600 c,1.8824339622641508,1.3793306056338028,2.1940497333333333
EPIC 201841433 b,1.9670377358490565,1.3906274084507042,2.302028
EPIC 205950854 c,2.4746603773584903,1.4166338028169017,2.9230546666666664
EPIC 206024342 b,3.214943396226415,1.0044057323943663,3.197572888888889
EPIC 206024342 c,2.643867924528302,1.3015981267605634,2.993441333333333
EPIC 206032309 b,1.903584905660377,1.3818111830985917,2.220696133333333
EPIC 206042996 b,3.214943396226415,1.0044057323943663,3.197572888888889
EPIC 206042996 c,2.2631509433962265,1.5252567605633802,2.7738153333333333
EPIC 206215704 b,1.8824339622641508,1.3793306056338028,2.1940497333333333
EPIC 206317286 b,1.8189811320754716,1.3189415211267608,2.073163222222222
EPIC 206317286 c,3.9552264150943395,0.7678020000000001,3.439446
EPIC 211822797 b,3.616811320754717,0.8706612253521128,3.3492146666666667
EPIC 212297394 b,2.7919245283018865,1.2144623380281692,3.0534317777777775
EPIC 212297394 c,4.293641509433962,0.6913536197183099,3.542977777777778
EPIC 212424622 b,4.103283018867924,0.7311745352112676,3.482046222222222
EPIC 212499991 b,3.0245849056603773,1.086697971830986,3.1290517777777778
EPIC 212587672 b,2.3689056603773584,1.5131745070422535,2.891910222222222
EPIC 212587672 c,4.378245283018868,0.6771232676056338,3.5754153333333334
EPIC 212624936 b,2.2631509433962265,1.5252567605633802,2.7738153333333333
EPIC 212624936 c,4.335943396226415,0.6860698450704226,3.5641855555555555
EPIC 220492298 b,1.8612830188679246,1.3755961971830986,2.1664587777777777
EPIC 220554210 c,3.0245849056603773,1.086697971830986,3.1290517777777778
EPIC 220674823 b,3.0245849056603773,2.6395894366197186,4.876705111111111
EPIC 220674823 c,4.145584905660376,0.7702143802816901,3.6106397777777777
EPIC 228836835 b,2.072792452830188,1.451801408450704,2.4785744444444444
EPIC 249893012 b,3.6802641509433958,1.6606397183098591,4.706621111111112
G 264-012 b,2.622716981132075,1.3116762253521128,2.980967777777778
G 264-012 c,3.320698113207547,0.9689469859154931,3.2439335555555555
G 9-40 b,3.828320754716981,0.803845352112676,3.4063328888888886
GJ 1061 b,2.072792452830188,1.4551776056338028,2.4814546666666666
GJ 1061 c,2.2208490566037735,1.5015383098591548,2.700721333333333
GJ 1061 d,2.1785471698113206,1.5005656338028168,2.648420888888889
GJ 1132 b,2.1362452830188676,1.609990704225352,2.690018888888889
GJ 1132 c,2.707320754716981,1.2591807746478874,3.014923333333333
GJ 1252 b,2.2208490566037735,1.139192633802817,2.3523944444444442
GJ 1265 b,4.949320754716981,0.5773675492957747,3.7321948888888885
GJ 15 A b,2.9399811320754714,1.1276270000000002,3.098274
GJ 163 c,4.71666037735849,0.6132197746478874,3.665516888888889
GJ 180 b,4.589754716981132,0.6350289154929578,3.629767111111111
GJ 180 c,4.5474528301886785,0.6439632112676057,3.6215231111111112
GJ 180 d,5.01277358490566,0.5678928169014085,3.7488995555555555
GJ 2030 b,3.743716981132075,0.8280661267605633,3.3808666666666665
GJ 229 A c,5.414641509433962,0.511021323943662,3.841331111111111
GJ 251 b,3.4476037735849054,0.9238040985915492,3.288514888888889
GJ 273 b,2.855377358490566,1.1740309436619718,3.070406
GJ 273 c,1.9881886792452828,1.4194081690140845,2.3507355555555556
GJ 3082 b,5.266584905660377,0.5310539436619719,3.8088242222222224
GJ 3090 b,4.018679245283019,0.4869214225352113,2.7829493333333333
GJ 3138 b,2.242,1.49412661971831,2.719705333333333
GJ 3138 c,3.532207547169811,0.897208352112676,3.320361777777778
GJ 3293 d,5.0339245283018865,0.5635931126760564,3.7504386666666667
GJ 3293 e,3.0668867924528302,1.0757036901408452,3.156724
GJ 3323 b,2.305452830188679,1.560610704225352,2.8582226666666664
GJ 3323 c,2.495811320754717,1.4060648732394367,2.9370204444444443
GJ 3341 b,4.632056603773584,0.6292858450704226,3.6466188888888884
GJ 3473 b,2.3900566037735844,1.2883608028169014,2.6922753333333334
GJ 3473 c,4.970471698113207,0.5707627887323944,3.726644444444444
GJ 357 b,2.305452830188679,1.420744647887324,2.727136
GJ 357 c,3.1303396226415097,1.0488553521126762,3.181572222222222
GJ 357 d,4.420547169811321,0.6679640422535211,3.5854617777777777
GJ 3634 b,5.351188679245283,0.5101862535211268,3.7932124444444444
GJ 367 b,1.3536603773584905,2.084997323943662,1.9397912444444445
GJ 3779 b,5.181981132075471,0.5438785492957747,3.79262
GJ 3929 b,2.051641509433962,1.9184626760563381,2.8201402222222223
GJ 3929 c,4.25133962264151,0.7031967746478873,3.5379913333333333
GJ 393 b,2.199698113207547,1.5198447887323945,2.6912573333333336
GJ 3942 b,4.843566037735848,0.5943199014084508,3.7056797777777777
GJ 3998 b,2.6015660377358487,1.3268525211267608,2.9739846666666665
GJ 3998 c,4.484,0.6570154929577465,3.6069982222222223
GJ 411 b,2.7284716981132076,1.252328309859155,3.0301984444444443
GJ 414 A b,4.970471698113207,0.5854542394366198,3.7743017777777776
GJ 433 b,4.399396226415094,0.671288309859155,3.5771746666666666
GJ 433 d,4.039830188679245,0.7492977464788733,3.4704264444444446
GJ 486 b,2.453509433962264,1.8057874647887324,3.272002
GJ 514 b,4.018679245283019,0.7579480985915493,3.4721271111111114
GJ 536 b,4.103283018867924,0.7337858732394366,3.4882586666666664
GJ 581 c,4.166735849056604,0.7190587746478873,3.5064746666666666
GJ 581 e,2.199698113207547,1.4972447887323945,2.671173111111111
GJ 625 b,2.8130754716981135,1.1980795774647888,3.0557424444444443
GJ 667 C b,4.209037735849056,0.7258221971830986,3.558692666666667
GJ 667 C c,3.3418490566037735,0.9667784366197184,3.260940222222222
GJ 667 C e,2.7284716981132076,1.1842348169014085,2.9466659999999996
GJ 667 C f,2.7284716981132076,1.1842348169014085,2.9466659999999996
GJ 667 C g,3.743716981132075,0.8022785915492957,3.327807111111111
GJ 676 A d,3.3418490566037735,0.9627501830985916,3.2541395555555552
GJ 676 A e,4.674358490566037,0.619715338028169,3.651831111111111
GJ 682 b,3.6591132075471697,0.8494048732394366,3.346769111111111
GJ 682 c,5.456943396226415,0.5064454225352113,3.8539697777777775
GJ 685 b,5.5626981132075475,0.4947012112676057,3.882840222222222
GJ 740 b,2.897679245283019,1.1505485492957748,3.0845748888888886
GJ 876 d,4.737811320754717,0.5937343943661972,3.6229837777777774
GJ 887 b,3.553358490566038,0.8853030140845071,3.3180086666666666
GJ 887 c,5.0339245283018865,0.5635931126760564,3.7504386666666667
GJ 9689 b,5.795358490566038,0.46899374647887326,3.9387313333333336
GJ 9827 b,2.9822830188679244,1.7514111267605634,3.9168364444444443
