,P_NAME,P_RADIUS,P_DENSITY,P_ESCAPE,P_TEMP_SURF
30,55 Cnc e,1.87207,1.2178426,2.0659399,2066.9461
33,61 Vir b,2.10748,0.54327754,1.5533679,1214.7088
63,BD-06 1339 b,2.84734,0.37173883,1.7360343,772.23385
72,CD Cet b,1.81602,0.65963152,1.4749297,492.19235
110,CoRoT-7 b,1.6815,0.85768575,1.5572594,1867.6349
111,CoRoT-7 c,2.83613,0.368223,1.7210029,1135.9045
120,DMPP-1 c,3.06033,0.33488394,1.7709872,1277.4104
121,DMPP-1 d,1.64787,0.74862431,1.4257879,1683.3767
122,DMPP-1 e,1.86086,0.64070808,1.4895113,1355.3362
124,DMPP-3 A b,1.41246,0.91584022,1.3517177,943.53261
127,EPIC 201170410.02,1.04253,1.0097851,1.0476182,515.89107
128,EPIC 201238110 b,1.87207,0.63459581,1.4913195,329.23977
129,EPIC 201427007 b,1.50214,0.84298649,1.3791793,2257.313
130,EPIC 201497682 b,0.69502,0.77627232,0.61235653,1071.8206
131,EPIC 201595106 b,1.30036,1.0190382,1.3126799,2109.8297
132,EPIC 201615463 c,1.22189,1.0871273,1.2740085,1695.8241
133,EPIC 201754305 d,1.03132,0.98512366,1.0236201,1017.0023
134,EPIC 201757695.02,0.90801,0.92125529,0.87152657,1356.2035
135,EPIC 201833600 c,0.99769,0.97932473,0.98732238,853.50759
136,EPIC 201841433 b,1.04253,0.98734546,1.0359126,1067.0547
137,EPIC 205950854 c,1.31157,1.00581,1.3153746,947.37929
138,EPIC 206024342 b,1.70392,0.71312807,1.4389078,1142.8475
139,EPIC 206024342 c,1.40125,0.92413467,1.3470486,1946.918
141,EPIC 206032309 b,1.0089,0.98108594,0.99931326,687.50342
142,EPIC 206042996 b,1.70392,0.71312807,1.4389078,737.08305
143,EPIC 206042996 c,1.19947,1.0829323,1.2482169,1814.9918
144,EPIC 206215704 b,0.99769,0.97932473,0.98732238,547.02663
145,EPIC 206317286 b,0.96406,0.93644848,0.93292345,1328.3316
146,EPIC 206317286 c,2.09627,0.54513942,1.5477507,580.7363
147,EPIC 211822797 b,1.91691,0.61816947,1.5071466,428.48827
149,EPIC 212297394 b,1.47972,0.86226826,1.3740443,1203.7826
150,EPIC 212297394 c,2.27563,0.49086107,1.59434,935.18362
151,EPIC 212424622 b,2.17474,0.51913392,1.5669208,853.49212
152,EPIC 212499991 b,1.60303,0.77155556,1.4080733,480.37396
153,EPIC 212587672 b,1.25552,1.0743539,1.3013596,833.15966
154,EPIC 212587672 c,2.32047,0.48075752,1.6089369,738.0787
155,EPIC 212624936 b,1.19947,1.0829323,1.2482169,2298.3115
156,EPIC 212624936 c,2.29805,0.48710959,1.6038835,840.9723
159,EPIC 220492298 b,0.98648,0.9766733,0.97490645,2259.1752
160,EPIC 220554210 c,1.60303,0.77155556,1.4080733,2062.9307
161,EPIC 220674823 b,1.60303,1.8741085,2.1945173,2345.5992
162,EPIC 220674823 c,2.19716,0.54685221,1.6247879,811.74798
163,EPIC 228836835 b,1.09858,1.030779,1.1153585,1044.5794
166,EPIC 249893012 b,1.95054,1.1790542,2.1179795,1628.6357
170,G 264-012 b,1.39004,0.93129012,1.3414355,612.48937
171,G 264-012 c,1.75997,0.68795236,1.4597701,403.54416
172,G 9-40 b,2.02901,0.5707302,1.5328498,471.5094
173,GJ 1061 b,1.09858,1.0331761,1.1166546,400.57422
174,GJ 1061 c,1.17705,1.0660922,1.2153246,310.52811
175,GJ 1061 d,1.15463,1.0654016,1.1917894,246.60128
176,GJ 1132 b,1.13221,1.1430934,1.2105085,596.40874
177,GJ 1132 c,1.43488,0.89401835,1.3567155,337.59722
181,GJ 1252 b,1.17705,0.80882677,1.0585775,1125.2789
182,GJ 1265 b,2.62314,0.40993096,1.6794877,438.21839
184,GJ 15 A b,1.55819,0.80061517,1.3942233,413.3463
188,GJ 163 c,2.49983,0.43538604,1.6494826,303.77722
191,GJ 180 b,2.43257,0.45087053,1.6333952,320.21645
192,GJ 180 c,2.41015,0.45721388,1.6296854,270.36815
193,GJ 180 d,2.65677,0.4032039,1.6870048,204.74187
194,GJ 2030 b,1.98417,0.58792695,1.52139,2198.0796
197,GJ 229 A c,2.86976,0.36282514,1.728599,227.72887
199,GJ 251 b,1.82723,0.65590091,1.4798317,362.51159
