,P_NAME,P_RADIUS,P_MASS,P_ESCAPE,P_TEMP_SURF
63,BD-06 1339 b,2.84734,8.5813561,1.7360343,772.23385
124,DMPP-3 A b,1.41246,2.5807634,1.3517177,943.53261
130,EPIC 201497682 b,0.69502,0.26061896,0.61235653,1071.8206
133,EPIC 201754305 d,1.03132,1.0806152,1.0236201,1017.0023
134,EPIC 201757695.02,0.90801,0.68968677,0.87152657,1356.2035
135,EPIC 201833600 c,0.99769,0.97255369,0.98732238,853.50759
136,EPIC 201841433 b,1.04253,1.1187546,1.0359126,1067.0547
142,EPIC 206042996 b,1.70392,3.5278908,1.4389078,737.08305
143,EPIC 206042996 c,1.19947,1.8688287,1.2482169,1814.9918
145,EPIC 206317286 b,0.96406,0.83906593,0.93292345,1328.3316
146,EPIC 206317286 c,2.09627,5.0216824,1.5477507,580.7363
149,EPIC 212297394 b,1.47972,2.7937081,1.3740443,1203.7826
150,EPIC 212297394 c,2.27563,5.7844697,1.59434,935.18362
152,EPIC 212499991 b,1.60303,3.17828,1.4080733,480.37396
239,GJ 414 A b,2.63435,7.5992676,1.6984358,345.96348
290,GJ 9827 b,1.58061,4.9104426,1.7625764,1220.0898
291,GJ 9827 c,1.24431,0.83906593,0.82117127,844.40518
292,GJ 9827 d,2.0178,4.0395939,1.4149132,707.49923
551,HD 125595 b,2.39894,6.3565601,1.6278013,713.14153
590,HD 13808 c,3.12759,9.9607296,1.7845991,442.53271
643,HD 15337 b,1.63666,7.5102757,2.1421442,1043.3142
644,HD 15337 c,2.38773,8.1109706,1.8430784,669.64274
649,HD 154088 b,2.45499,6.6012876,1.6397946,723.35184
665,HD 156668 b,1.87207,4.131764,1.4856165,1468.878
724,HD 176986 b,2.26442,5.7399737,1.5921224,869.60087
725,HD 176986 c,2.98186,9.1788727,1.7544906,632.79567
741,HD 181433 b,2.39894,6.3565601,1.6278013,774.25443
811,HD 20781 b,1.21068,1.9387508,1.2654539,1045.8532
812,HD 20781 c,2.16353,5.3395104,1.5709749,759.24777
818,HD 207897 b,2.49983,14.400787,2.4001472,653.31234
843,HD 215152 b,1.18826,1.8179762,1.2369107,886.88287
844,HD 215152 c,1.17705,1.7194495,1.2086408,820.18784
845,HD 215152 d,1.47972,2.8000647,1.3756066,717.801
846,HD 215152 e,1.50214,2.8763434,1.383774,542.2765
847,HD 215497 b,2.39894,6.3565601,1.6278013,1014.5794
852,HD 216520 c,3.03791,9.4394917,1.7627343,304.973
866,HD 219134 b,1.60303,4.7388155,1.7193491,1048.4044
867,HD 219134 c,1.51335,4.3606002,1.6974752,807.53189
869,HD 219134 f,1.31157,7.3005092,2.3592874,538.89048
891,HD 22496 b,2.21958,5.5715249,1.5843519,648.16508
899,HD 23472 b,1.99538,8.3207371,2.0420581,588.8121
900,HD 23472 c,1.87207,3.4102945,1.3496927,494.76382
901,HD 23472 d,0.75107,0.54984245,0.85561605,968.17607
902,HD 23472 e,0.81833,0.72146957,0.93895498,769.72057
903,HD 23472 f,1.13221,0.76914377,0.82421453,666.84277
923,HD 26965 b,2.84734,8.4701163,1.7247455,505.5645
954,HD 3167 b,1.62545,4.7292807,1.7057318,1833.6699
956,HD 3167 d,2.09627,5.0312173,1.5492194,876.17195
957,HD 3167 e,3.09396,9.7414283,1.77441,377.53289
990,HD 39194 b,1.82723,4.0014546,1.4798317,958.18669
991,HD 39194 c,2.38773,6.299351,1.6242591,707.38243
992,HD 39194 d,1.82723,4.0014546,1.4798317,524.84566
994,HD 40307 b,1.82723,4.0046328,1.4804193,918.33323
995,HD 40307 c,2.45499,6.6108225,1.6409785,704.44891
996,HD 40307 d,3.04912,9.5030573,1.7654053,547.8178
997,HD 40307 f,2.1299,5.2123792,1.5643661,400.73879
998,HD 40307 g,2.56709,7.0875645,1.6616057,255.74628
1096,HD 73583 c,2.38773,9.7001106,2.01556,526.90933
1108,HD 7924 b,2.39894,6.3565601,1.6278013,929.60246
1109,HD 7924 c,2.72403,7.8598865,1.6986433,672.82612
1110,HD 7924 d,2.42136,6.4391953,1.6307452,574.05495
1129,HD 85512 b,1.71513,3.496108,1.4277228,360.91468
1177,HD 97658 b,2.11869,8.2984892,1.9790912,780.28786
1192,HIP 116454 b,2.4662,12.71312,2.2704499,727.04137
1214,HIP 54373 b,2.86976,8.6194954,1.7330781,565.85212
1218,HIP 57274 b,2.39894,6.3565601,1.6278013,1210.4093
1247,HIP 97166 c,3.11638,9.9003423,1.7823784,672.64268
1266,K2-101 b,1.99538,4.6720716,1.5301779,608.92723
1267,K2-102 b,1.30036,2.2406874,1.3126799,684.70805
1279,K2-116 b,0.69502,0.25744068,0.6086112,854.57911
1285,K2-120 b,2.00659,4.7038544,1.5310791,702.08324
1291,K2-126 b,1.97296,4.5449404,1.5177665,677.51821
1293,K2-128 b,1.42367,2.6030113,1.3521764,754.95339
1296,K2-130 b,1.25552,2.0976648,1.2925764,1013.5733
1297,K2-131 b,1.50214,6.299351,2.0478243,2240.5721
1303,K2-136 b,0.98648,0.93759261,0.97490645,687.31574
1305,K2-136 d,1.44609,2.6983597,1.3660049,465.8044
1316,K2-141 b,1.51335,5.0788915,1.8319549,2208.077
1321,K2-148 b,1.33399,2.3296793,1.321514,761.10188
1322,K2-148 c,1.72634,3.655022,1.4550631,653.40186
1323,K2-148 d,1.63666,3.337194,1.427945,582.9083
1332,K2-155 b,1.80481,3.9092844,1.4717461,598.20848
1334,K2-155 d,1.9057,4.2588952,1.4949312,322.22253
1335,K2-156 b,1.09858,1.3666604,1.1153585,1455.0489
1340,K2-16 b,2.0178,4.7356372,1.5319696,718.88232
1344,K2-162 b,1.43488,2.6665769,1.3632304,699.09654
1345,K2-163 b,2.4662,6.6426053,1.6411757,825.42322
1347,K2-165 b,1.27794,2.167587,1.302366,1288.8621
1348,K2-165 c,1.55819,3.0352574,1.3956855,1047.822
1354,K2-17 b,2.23079,5.5937729,1.5835182,468.87827
1375,K2-184 b,1.46851,2.7619253,1.3714106,557.08411
1392,K2-191 b,1.58061,3.1178927,1.4044886,1209.313
1393,K2-192 b,1.52456,2.9240176,1.3848978,1056.5077
1401,K2-198 c,1.42367,2.6125462,1.3546507,1131.5876
1402,K2-198 d,2.44378,6.5154741,1.6328337,867.75777
1403,K2-199 b,1.72634,6.9000459,1.9992303,965.33528
1405,K2-200 b,1.36762,2.4345625,1.3342209,1162.1812
1409,K2-203 b,1.36762,2.4536322,1.3394361,758.88735
1415,K2-209 b,0.86317,0.58480353,0.823108,1207.6658
1424,K2-216 b,1.74876,7.9997308,2.1388118,1135.3812
1441,K2-228 b,1.21068,1.9260377,1.261298,959.98041
1466,K2-247 b,2.11869,5.1488136,1.5589058,993.19364
1467,K2-247 c,2.18595,5.4348589,1.5767906,698.28572
1471,K2-250 b,2.44378,6.5154741,1.6328337,1050.9072
1473,K2-252 b,1.73755,3.6868048,1.456654,705.0913
1475,K2-254 b,1.62545,3.3054112,1.4260211,846.89918
1476,K2-254 c,2.18595,5.4348589,1.5767906,590.02426
1490,K2-266 c,0.70623,0.28922348,0.63994654,687.44492
1493,K2-268 b,1.50214,2.8572737,1.3791793,1250.1017
1495,K2-268 d,1.49093,2.8254909,1.3766335,975.95877
1496,K2-268 e,1.33399,2.3296793,1.321514,882.20575
1497,K2-268 f,2.23079,5.5937729,1.5835182,543.16222
1500,K2-270 b,1.37883,2.4790584,1.3408741,1327.7681
1505,K2-274 b,2.08506,4.9898996,1.5469869,691.32491
1506,K2-275 b,2.34289,6.0705149,1.6096699,1228.799
1507,K2-275 c,2.20837,5.5302073,1.5824674,689.02149
1552,K2-322 b,1.91691,4.3542436,1.5071466,649.12375
1556,K2-326 b,2.27563,5.8162525,1.5987141,1164.4963
1568,K2-338 b,1.03132,1.0806152,1.0236201,869.19115
1569,K2-339 b,1.91691,4.3542436,1.5071466,552.00623
1576,K2-344 b,1.59182,3.1560321,1.4080683,759.3408
1578,K2-346 b,2.26442,5.7209041,1.5894755,500.5888
1579,K2-347 b,2.41015,6.3883429,1.6280662,682.76444
1582,K2-349 b,1.37883,2.4790584,1.3408741,886.58318
1583,K2-35 b,1.32278,2.3010747,1.3189294,1028.2034
1584,K2-35 c,1.92812,4.3860264,1.5082335,810.30217
1597,K2-36 b,1.43488,3.8997496,1.6485821,1387.7725
1601,K2-367 b,2.41015,6.4201257,1.6321111,480.07381
1602,K2-368 b,1.33399,2.3360358,1.3233157,845.39528
1603,K2-368 c,1.35641,2.4218494,1.3362203,679.92431
1604,K2-368 d,1.95054,4.449592,1.5103676,531.69694
1617,K2-377 b,1.69271,3.496108,1.4371468,567.08244
1619,K2-379 b,2.18595,5.403076,1.5721733,710.28083
1623,K2-381 b,1.07616,1.2585989,1.081447,706.91687
1624,K2-381 c,1.99538,4.6720716,1.5301779,559.24552
1625,K2-381 d,1.69271,3.496108,1.4371468,471.22443
1627,K2-383 b,1.5694,3.0670402,1.3979541,1316.5804
1633,K2-385 b,1.53577,2.9844049,1.3940097,1156.4861
1644,K2-394 b,1.69271,3.496108,1.4371468,824.34177
1653,K2-4 b,2.09627,5.0534652,1.5526409,608.13414
1655,K2-401 b,2.26442,5.7526869,1.5938846,705.11163
1667,K2-413 b,0.76228,0.36232392,0.68943169,1646.7504
1668,K2-413 c,1.2331,2.0468123,1.2883678,863.01018
1669,K2-414 b,1.22189,1.9768902,1.2719652,868.87287
1670,K2-414 c,1.92812,4.3860264,1.5082335,816.11466
1671,K2-42 b,2.15232,5.2759448,1.5656573,772.81962
1677,K2-47 b,1.89449,4.2271124,1.4937425,516.87169
1678,K2-48 b,2.242,5.6573385,1.5885039,537.67654
1679,K2-49 b,1.92812,4.3860264,1.5082335,1048.3142
1680,K2-5 b,1.9057,4.3224608,1.5060461,668.75171
1681,K2-5 c,2.26442,5.7209041,1.5894755,539.31695
1682,K2-50 b,1.59182,3.1560321,1.4080683,655.20343
1687,K2-57 b,2.09627,5.0534652,1.5526409,653.28292
1691,K2-59 b,2.41015,6.3883429,1.6280662,534.76305
1692,K2-59 c,2.29805,5.9116009,1.6038835,654.10344
1696,K2-62 b,2.14111,5.2123792,1.5602655,750.7445
1697,K2-62 c,2.14111,5.2123792,1.5602655,541.6887
1701,K2-65 b,1.58061,3.121071,1.4052043,748.08637
1703,K2-68 b,1.58061,3.121071,1.4052043,734.01357
1704,K2-69 b,2.32047,6.0069493,1.6089369,542.22181
1707,K2-71 b,2.15232,5.2759448,1.5656573,507.59206
1719,K2-8 c,2.41015,6.3883429,1.6280662,891.79473
1723,K2-81 b,1.97296,4.5449404,1.5177665,853.48695
1724,K2-83 b,1.24431,2.0785951,1.2924706,828.44928
1725,K2-83 c,1.47972,2.803243,1.3763871,538.63885
1728,K2-85 b,1.19947,1.8688287,1.2482169,1575.4732
1735,K2-90 c,1.30036,2.2406874,1.3126799,878.91578
1828,KOI-1831 d,1.13221,2.2311526,1.4037868,545.8393
1844,KOI-7368 b,2.21958,5.5619901,1.5829956,921.20412
1845,KOI-7913 b,2.34289,6.0705149,1.6096699,484.60739
1867,Kepler-1007 b,1.43488,2.6665769,1.3632304,947.00027
1868,Kepler-1008 b,1.27794,2.1834784,1.3071313,696.83581
1869,Kepler-1009 b,2.17474,5.3395104,1.5669208,577.78224
1872,Kepler-1010 b,2.32047,6.0069493,1.6089369,516.6448
1875,Kepler-1013 b,2.15232,5.2759448,1.5656573,572.61199
1882,Kepler-1019 b,1.4573,2.7301425,1.3687312,1216.9552
1885,Kepler-102 d,1.17705,3.813936,1.8000694,700.19191
1886,Kepler-102 e,2.21958,8.8991841,2.0023486,603.0699
1888,Kepler-1020 b,2.27563,5.8162525,1.5987141,359.47345
1890,Kepler-1022 b,2.36531,6.1658633,1.6145552,618.83202
1894,Kepler-1026 b,2.20837,5.5302073,1.5824674,453.64631
1897,Kepler-1029 b,1.25552,2.1262693,1.3013596,928.79911
1900,Kepler-1030 b,2.47741,6.7061709,1.6452745,572.12729
1902,Kepler-1032 b,1.87207,4.1635468,1.4913195,1038.645
1904,Kepler-1034 b,2.26442,5.7209041,1.5894755,719.37785
1907,Kepler-1037 b,1.27794,2.1834784,1.3071313,1579.931
1909,Kepler-1038 c,1.41246,2.5934765,1.355043,888.00962
1910,Kepler-1039 b,1.4573,2.7301425,1.3687312,1459.862
1916,Kepler-1042 b,2.18595,5.4348589,1.5767906,740.81509
1923,Kepler-1048 b,1.61424,3.2100628,1.410174,936.04066
1931,Kepler-1053 b,0.97527,0.90263153,0.96203931,968.42378
1937,Kepler-1059 b,1.72634,3.655022,1.4550631,1016.8207
1944,Kepler-1062 b,1.75997,3.7503704,1.4597701,710.42776
1946,Kepler-1064 b,1.54698,3.0225443,1.3977966,664.09215
1959,Kepler-1071 b,2.37652,6.2612117,1.6231492,968.90938
1964,Kepler-1074 b,1.25552,2.0976648,1.2925764,651.83597
1965,Kepler-1075 b,1.42367,2.6030113,1.3521764,1051.209
1966,Kepler-1076 b,0.79591,0.43542436,0.7396468,844.69537
1979,Kepler-1086 b,2.44378,6.5154741,1.6328337,506.68997
1994,Kepler-1096 b,1.24431,2.0690603,1.2895028,962.12447
2011,Kepler-1105 b,2.00659,4.7038544,1.5310791,769.50291
2013,Kepler-1107 b,1.3452,2.3582838,1.3240507,2016.2085
2030,Kepler-1120 b,1.37883,2.4790584,1.3408741,1067.7204
2041,Kepler-113 b,1.81602,11.759636,2.5447002,921.76213
2047,Kepler-1132 b,2.3541,6.1340805,1.6142183,431.22019
2051,Kepler-1136 b,1.63666,3.337194,1.427945,1018.322
2061,Kepler-1143 b,1.67029,3.4325424,1.4335473,1043.5993
2064,Kepler-1145 b,1.40125,2.542624,1.3470486,1026.2871
2065,Kepler-1146 b,1.2331,2.0404558,1.2863657,1102.882
2067,Kepler-1148 b,1.69271,3.496108,1.4371468,1545.759
2071,Kepler-1150 b,1.02011,1.0424758,1.010903,1003.319
2073,Kepler-1152 b,0.87438,0.59116009,0.82224728,1024.6329
2079,Kepler-1157 b,1.08737,1.3221645,1.1026916,921.68329
2085,Kepler-1161 b,2.1299,5.1805964,1.5595894,705.60669
2088,Kepler-1164 b,1.121,1.4588305,1.140774,1069.7015
2092,Kepler-1167 b,1.71513,3.5596736,1.4406436,1597.5398
2093,Kepler-1168 b,2.49983,6.8015193,1.6494826,410.94636
2097,Kepler-1170 b,2.41015,6.3883429,1.6280662,798.41628
2100,Kepler-1173 b,0.88559,0.63883429,0.84933252,1787.6023
2105,Kepler-1178 b,1.06495,1.2395292,1.0788567,614.05076
2106,Kepler-1179 b,1.32278,2.3010747,1.3189294,1197.9334
2107,Kepler-118 b,1.96175,4.5131576,1.5167654,857.15486
2121,Kepler-1190 b,1.33399,2.3296793,1.321514,651.31693
2126,Kepler-1195 b,2.08506,4.9898996,1.5469869,826.04253
2128,Kepler-1197 b,1.25552,2.0976648,1.2925764,1165.6751
