,P_NAME,P_RADIUS,P_MASS,P_ESCAPE,P_TEMP_SURF,S_TEMPERATURE,S_RADIUS,S_MASS,S_LUMINOSITY
30,55 Cnc e,1.87207,7.990196,2.0659399,2066.9461,5172.0,0.94,0.91,0.63533093
33,61 Vir b,2.10748,5.085248,1.5533679,1214.7088,5577.0,0.96,0.94,0.80352612
63,BD-06 1339 b,2.84734,8.5813561,1.7360343,772.23385,4324.0,0.69,0.7,0.095060479
72,CD Cet b,1.81602,3.9506021,1.4749297,492.19235,3130.0,0.17,0.16,0.0029308932
110,CoRoT-7 b,1.6815,4.0777333,1.5572594,1867.6349,5275.0,0.83,0.82,0.51404365
111,CoRoT-7 c,2.83613,8.4001941,1.7210029,1135.9045,5256.0,0.86,0.9,0.51404365
120,DMPP-1 c,3.06033,9.5984057,1.7709872,1277.4104,6196.0,1.26,1.21,2.0892961
121,DMPP-1 d,1.64787,3.3499072,1.4257879,1683.3767,6196.0,1.26,1.21,2.0892961
122,DMPP-1 e,1.86086,4.1285858,1.4895113,1355.3362,6196.0,1.26,1.21,2.0892961
124,DMPP-3 A b,1.41246,2.5807634,1.3517177,943.53261,5138.0,0.91,0.87,0.50933087
127,EPIC 201170410.02,1.04253,1.1441808,1.0476182,515.89107,3648.0,0.28,0.29,0.012589254
128,EPIC 201238110 b,1.87207,4.1635468,1.4913195,329.23977,3587.0,0.37,0.41,0.031045596
129,EPIC 201427007 b,1.50214,2.8572737,1.3791793,2257.313,5633.0,0.94,0.93,0.89330548
130,EPIC 201497682 b,0.69502,0.26061896,0.61235653,1071.8206,4991.0,0.55,0.78,0.17139573
131,EPIC 201595106 b,1.30036,2.2406874,1.3126799,2109.8297,5820.0,0.93,1.02,0.9418896
132,EPIC 201615463 c,1.22189,1.9832467,1.2740085,1695.8241,5942.5,1.6,1.07,2.8707806
133,EPIC 201754305 d,1.03132,1.0806152,1.0236201,1017.0023,4761.0,0.54,0.67,0.1733804
134,EPIC 201757695.02,0.90801,0.68968677,0.87152657,1356.2035,4520.0,0.66,0.73,0.43251383
135,EPIC 201833600 c,0.99769,0.97255369,0.98732238,853.50759,4292.67,0.63,0.61,0.13365955
136,EPIC 201841433 b,1.04253,1.1187546,1.0359126,1067.0547,5053.0,0.63,0.8,0.23173946
137,EPIC 205950854 c,1.31157,2.2692919,1.3153746,947.37929,5502.7,0.83,0.88,0.66680677
138,EPIC 206024342 b,1.70392,3.5278908,1.4389078,1142.8475,5724.0,0.82,0.93,0.67608298
139,EPIC 206024342 c,1.40125,2.542624,1.3470486,1946.918,5724.0,1.1,0.93,0.67608298
141,EPIC 206032309 b,1.0089,1.0075148,0.99931326,687.50342,3489.0,0.37,0.22,0.018620871
142,EPIC 206042996 b,1.70392,3.5278908,1.4389078,737.08305,4114.0,0.5,0.57,0.10471285
143,EPIC 206042996 c,1.19947,1.8688287,1.2482169,1814.9918,4114.0,0.5,0.57,0.10471285
144,EPIC 206215704 b,0.99769,0.97255369,0.98732238,547.02663,3297.0,0.25,0.41,0.0081658237
145,EPIC 206317286 b,0.96406,0.83906593,0.93292345,1328.3316,4864.0,0.67,0.71,0.25527013
146,EPIC 206317286 c,2.09627,5.0216824,1.5477507,580.7363,4752.0,0.76,0.83,0.25527013
147,EPIC 211822797 b,1.91691,4.3542436,1.5071466,428.48827,4057.0,0.58,0.62,0.070307232
149,EPIC 212297394 b,1.47972,2.7937081,1.3740443,1203.7826,5171.0,0.8,0.83,0.31260794
150,EPIC 212297394 c,2.27563,5.7844697,1.59434,935.18362,5171.0,0.8,0.83,0.34119291
151,EPIC 212424622 b,2.17474,5.3395104,1.5669208,853.49212,5782.33,1.22,1.11,1.5100802
152,EPIC 212499991 b,1.60303,3.17828,1.4080733,480.37396,4982.79,0.76,0.91,0.31841975
153,EPIC 212587672 b,1.25552,2.1262693,1.3013596,833.15966,6004.0,0.98,0.99,1.0139114
154,EPIC 212587672 c,2.32047,6.0069493,1.6089369,738.0787,6004.0,0.98,0.99,1.0914403
155,EPIC 212624936 b,1.19947,1.8688287,1.2482169,2298.3115,5765.0,0.93,1.0,0.75162289
156,EPIC 212624936 c,2.29805,5.9116009,1.6038835,840.9723,5765.0,0.93,1.0,0.75162289
159,EPIC 220492298 b,0.98648,0.93759261,0.97490645,2259.1752,5620.0,0.89,0.95,0.97948999
160,EPIC 220554210 c,1.60303,3.17828,1.4080733,2062.9307,5499.0,1.0,0.94,0.6095369
161,EPIC 220674823 b,1.60303,7.7200422,2.1945173,2345.5992,5613.0,0.95,0.93,0.76032628
162,EPIC 220674823 c,2.19716,5.8003611,1.6247879,811.74798,5613.0,0.95,0.93,0.76032628
163,EPIC 228836835 b,1.09858,1.3666604,1.1153585,1044.5794,3782.0,0.32,0.42,0.024434306
166,EPIC 249893012 b,1.95054,8.7498049,2.1179795,1628.6357,5430.0,1.71,1.05,2.2698649
170,G 264-012 b,1.39004,2.5013064,1.3414355,612.48937,3326.0,0.3,0.3,0.010665961
171,G 264-012 c,1.75997,3.7503704,1.4597701,403.54416,3326.0,0.3,0.3,0.010665961
172,G 9-40 b,2.02901,4.76742,1.5328498,471.5094,3348.0,0.31,0.29,0.010690549
173,GJ 1061 b,1.09858,1.3698387,1.1166546,400.57422,2953.0,0.16,0.12,0.0016982437
174,GJ 1061 c,1.17705,1.7385192,1.2153246,310.52811,2953.0,0.16,0.12,0.0016982437
175,GJ 1061 d,1.15463,1.6399925,1.1917894,246.60128,2953.0,0.16,0.12,0.0016982437
176,GJ 1132 b,1.13221,1.6590622,1.2105085,596.40874,3270.0,0.21,0.18,0.0043752211
177,GJ 1132 c,1.43488,2.6411507,1.3567155,337.59722,3270.0,0.21,0.18,0.0043752211
181,GJ 1252 b,1.17705,1.3189862,1.0585775,1125.2789,3458.0,0.39,0.38,0.019588447
182,GJ 1265 b,2.62314,7.3990359,1.6794877,438.21839,3236.0,0.19,0.18,0.0036391504
184,GJ 15 A b,1.55819,3.0289009,1.3942233,413.3463,3607.0,0.38,0.38,0.022130947
188,GJ 163 c,2.49983,6.8015193,1.6494826,303.77722,3500.0,0.41,0.4,0.019588447
191,GJ 180 b,2.43257,6.4900478,1.6333952,320.21645,3371.0,0.41,0.43,0.013001696
192,GJ 180 c,2.41015,6.401056,1.6296854,270.36815,3371.0,0.41,0.43,0.013001696
193,GJ 180 d,2.65677,7.5611282,1.6870048,204.74187,3811.5,0.41,0.43,0.024603676
194,GJ 2030 b,1.98417,4.5926146,1.52139,2198.0796,5485.0,2.24,0.96,4.0926066
197,GJ 229 A c,2.86976,8.5749995,1.728599,227.72887,3912.54,0.46,0.51,0.059979108
199,GJ 251 b,1.82723,4.0014546,1.4798317,362.51159,3451.0,0.36,0.36,0.016904409
201,GJ 273 b,1.51335,2.8890565,1.3816827,291.70037,3382.0,0.29,0.29,0.0087902252
202,GJ 273 c,1.05374,1.1791419,1.057831,460.50053,3382.0,0.29,0.29,0.0087902252
204,GJ 3082 b,2.79129,8.1999625,1.7139709,439.61871,3910.0,0.47,0.47,0.034434993
